material_id,formula,nelements,elements,elements_clean,crystal_system,band_gap,is_gap_direct,n,e_total,e_electronic,bulk_modulus_vrh,shear_modulus_vrh,energy_above_hull,formation_energy_per_atom,density,is_stable,is_magnetic,total_magnetization,weighted_work_function,theoretical,contains_toxic,contains_scarce,band_gap_score_sq,band_gap_score_si,stability_score,dielectric_score,mechanical_score,magnetic_score,direct_gap_bonus,semiconductor_score
mp-23202,InI,2,['I' 'In'],"I,In",Orthorhombic,1.3412,True,2.90830753704002,43.32669413888518,8.45825273000379,13.331,7.457,0.0,-0.6524206583333321,5.312211809671205,True,False,0.0,,False,False,False,0.9999955000101249,0.7619836179939293,1.0,0.9014225958353561,0.15099512660825415,1.0,0.1,0.9646093197377493
mp-540771,BaZrS3,3,['Ba' 'S' 'Zr'],"Ba,S,Zr",Orthorhombic,0.9900000000000001,True,3.096349327299274,110.36956133666666,9.587379156666666,69.975,33.616,0.0,-2.107697715499998,4.262395303692848,True,False,0.0,,False,False,False,0.6819407511903482,0.9103839103891423,1.0,0.9792333011177682,0.6062779386190433,1.0,0.1,0.964555563385528
mp-8017,AlCuTe2,3,['Al' 'Cu' 'Te'],"Al,Cu,Te",Tetragonal,1.0186,True,3.1705263721764982,11.698825069973717,10.052237476666667,49.905,24.581,0.0,-0.42519420625000104,5.249753008760489,True,False,0.0,,False,False,False,0.7241142284059993,0.9444788359194437,1.0,0.9944014572296641,0.4102447880282756,1.0,0.1,0.9628850798766935
mp-17696,Ba2VN3,3,['Ba' 'N' 'V'],"Ba,N,V",Orthorhombic,1.3876,True,2.6916708658377972,21.496166623333334,7.24509205,,,0.0,-1.216871307916668,5.422509321080526,True,False,0.0,,False,False,False,0.992944507683016,0.6717748763616826,1.0,0.7579827905316422,0.5,1.0,0.1,0.9626997769547527
mp-14092,AlAgTe2,3,['Ag' 'Al' 'Te'],"Ag,Al,Te",Tetragonal,1.0469,True,2.971322437344467,10.953366963334181,8.828757026666667,42.2,16.77,0.0,-0.43926148875000204,5.285977139432593,True,False,0.0,,False,False,False,0.7645550248516392,0.9707496001948873,1.0,0.9332966615164704,0.34277801695333376,1.0,0.1,0.9610234971649467
mp-1479,BP,2,['B' 'P'],"B,P",Cubic,1.243499999999999,False,3.029083443882197,9.272071146925382,9.175346510001235,162.017,161.948,0.0,-0.48330429523809504,2.9813687825821953,True,False,0.0,,False,False,False,0.9713185688341496,0.9187559776208952,1.0,0.957546069966509,0.8672973701938436,1.0,0.0,0.9610046863660324
mp-31231,Sr5Mo2N7,3,['Mo' 'N' 'Sr'],"Mo,N,Sr",Triclinic,1.2258,True,2.400779846216641,15.645945036666667,5.76374387,,,0.0,-1.086088278214286,4.822175671442805,True,False,0.0,,False,False,False,0.9600641968858284,0.939707249535528,1.0,0.5267420449613475,0.5,1.0,0.1,0.9599834433959884
mp-557090,Bi2Au5F21,3,['Au' 'Bi' 'F'],"Au,Bi,F",Tetragonal,1.2285,True,,,,,,0.0,-1.7513867525,6.469429976858691,True,False,0.0353481,,False,False,False,0.9618942310928135,0.9366914103862597,1.0,0.5,0.5,1.0,0.1,0.9559772693311422
mp-1195835,Ga2SbTe4Cl7,4,['Cl' 'Ga' 'Sb' 'Te'],"Cl,Ga,Sb,Te",Monoclinic,1.230899999999999,True,,,,,,0.0,-1.158352289761904,3.554000429570283,True,False,0.0077354,,False,False,False,0.9634870023548487,0.9339552797786662,1.0,0.5,0.5,1.0,0.1,0.9559650425555121
mp-680333,Ge4Se9,2,['Ge' 'Se'],"Ge,Se",Orthorhombic,1.2221,True,,,,,,0.0,-0.564213325853364,4.069741392228336,True,False,0.0,,False,False,False,0.9574911687092761,0.943731681546736,1.0,0.5,0.5,1.0,0.1,0.9559325444093294
mp-3772,Cd(GaSe2)2,3,['Cd' 'Ga' 'Se'],"Cd,Ga,Se",Tetragonal,1.3487,True,2.728552617536753,11.058450076666816,7.444999386666666,31.353,18.984,0.0,-0.8853534391964281,5.163480131897585,True,False,0.0,,False,False,False,0.9997634967213107,0.7478326503214981,1.0,0.7852953088054155,0.25883621112457966,1.0,0.1,0.9557936891618226
mp-569282,LiCa10MgSb9,4,['Ca' 'Li' 'Mg' 'Sb'],"Ca,Li,Mg,Sb",Tetragonal,1.213099999999999,True,,,,,,0.0,-1.048838448015872,4.125624286067264,True,False,9.9e-06,,False,False,False,0.950921484103965,0.9529875981571082,1.0,0.5,0.5,1.0,0.1,0.9556785107495575
mp-542067,Rb4Ti3S14,3,['Rb' 'S' 'Ti'],"Rb,S,Ti",Monoclinic,1.242899999999999,True,,,,,,0.0,-1.337950789285713,2.862230239415653,True,False,0.0,,False,False,False,0.9709660441807584,0.919510892506456,1.0,0.5,0.5,1.0,0.1,0.9556681449211579
mp-568525,Sr2SnSe5,3,['Se' 'Sn' 'Sr'],"Se,Sn,Sr",Orthorhombic,1.2442,True,,,,,,0.0,-1.360317969570314,5.164375490520945,True,False,0.0,,False,False,False,0.9717272460111493,0.9178713865263244,1.0,0.5,0.5,1.0,0.1,0.955612519481736
mp-541735,K4Ti3S14,3,['K' 'S' 'Ti'],"K,S,Ti",Monoclinic,1.2102,True,,,,,,0.0,-1.326334095190475,2.440805119309383,True,False,0.0,,False,False,False,0.9487118849927272,0.9558060890540317,1.0,0.5,0.5,1.0,0.1,0.9555488846062865
mp-21713,K2In3CuSe6,4,['Cu' 'In' 'K' 'Se'],"Cu,In,K,Se",Monoclinic,1.2031,True,,,,,,0.0,-0.9776056600885401,4.351386864837917,True,False,0.0889422,,False,False,False,0.9431145485447391,0.9623620959696161,1.0,0.5,0.5,1.0,0.1,0.9551329515316271
mp-1195068,Ba3Ta2Se9,3,['Ba' 'Se' 'Ta'],"Ba,Se,Ta",Monoclinic,1.202,True,,,,,,0.0,-1.576411595947172,5.933794719184651,True,False,0.13156,,False,False,False,0.942223755720672,0.9633335558520046,1.0,0.5,0.5,1.0,0.1,0.9550559723079686
mp-29051,WS9Cl4,3,['Cl' 'S' 'W'],"Cl,S,W",Tetragonal,1.255199999999999,True,,,,,,0.0,-0.843306107589284,2.161416023757217,True,False,0.0434561,,False,False,False,0.9777786146112593,0.903435805649053,1.0,0.5,0.5,1.0,0.1,0.9549600245001727
mp-18361,K7NbAs4,3,['As' 'K' 'Nb'],"As,K,Nb",Orthorhombic,1.1294,True,2.470216034412105,12.985810163333333,6.101967256666668,,,0.0,-0.447438780479166,2.824166377028373,True,False,0.0,,False,False,False,0.8705752098994983,0.999509231577349,1.0,0.582456675130322,0.5,1.0,0.1,0.9549386884810253
mp-1204243,Rb4Te8O23,3,['O' 'Rb' 'Te'],"O,Rb,Te",Orthorhombic,1.198599999999999,True,,,,,,0.0,-1.639239081809524,5.127154942133546,True,False,0.1612655,,False,False,False,0.9394307944023769,0.9662603187166363,1.0,0.5,0.5,1.0,0.1,0.9547967464080896
mp-866660,K3P2AuSe8,4,['Au' 'K' 'P' 'Se'],"Au,K,P,Se",Monoclinic,1.195799999999999,True,,,,,,0.0,-0.8266830439132631,3.963356570157007,True,False,1e-07,,False,False,False,0.9370860877783166,0.9685838504641889,1.0,0.5,0.5,1.0,0.1,0.9545590995142075
mp-1195299,K3Np(HO3)2,4,['H' 'K' 'Np' 'O'],"H,K,Np,O",Orthorhombic,1.1955,True,,,,,,0.0,-2.3205405875416663,3.923641516851296,True,False,0.0003454,,False,False,False,0.9368324938918053,0.9688281258229039,1.0,0.5,0.5,1.0,0.1,0.9545323423463868
