material_id,formula,chemsys,band_gap,cbm,vbm,efermi,is_gap_direct,n,e_total,e_ionic,e_electronic,bulk_modulus_vrh,shear_modulus_vrh,universal_anisotropy,homogeneous_poisson,energy_above_hull,formation_energy_per_atom,equilibrium_reaction_energy_per_atom,density,volume,nsites,nelements,elements,elements_clean,crystal_system,theoretical,is_magnetic,total_magnetization,ordering,weighted_work_function,is_stable,contains_toxic,contains_scarce,band_gap_score_sq,band_gap_score_si,stability_score,dielectric_score,mechanical_score,magnetic_score,direct_gap_bonus,semiconductor_score
mp-1221788,MnCoB2O5,B-Co-Mn-O,2.5223999999999993,4.9501,2.4277,2.50107672,False,,,,,,,,,0.11982056374075001,-2.336669708473819,,3.810020577602073,187.8362358957225,18,4,['B' 'Co' 'Mn' 'O'],"B,Co,Mn,O",Triclinic,True,True,3.9998477,FiM,,False,False,False,0.012664303387527092,1.7979933594563265e-05,0.091044099968479,0.5,0.5,0.0,0.0,0.13583681804613665
mp-1238333,MnH7C3NO6,C-H-Mn-N-O,3.4191000000000003,3.1458,-0.2733,3.1456865,False,,,,,,,,,0.08761462644675701,-1.166654506111911,,1.687688035778594,1228.0942338920956,108,5,['C' 'H' 'Mn' 'N' 'O'],"C,H,Mn,N,O",Monoclinic,True,True,29.9989568,FM,,False,False,False,1.3596237767219981e-06,1.7642273280069168e-13,0.17337601795904414,0.5,0.5,0.0,0.0,0.1515099099561585
mp-760945,MnOF,F-Mn-O,0.1645,2.0947,1.9302000000000001,1.97753759,False,,,,,,,,,0.08385255611108901,-2.310894964310345,,4.44825710769955,268.5851753765026,24,3,['F' 'Mn' 'O'],"F,Mn,O",Triclinic,True,True,32.0026781,FM,,False,False,False,0.013324833807375466,0.006269162536528521,0.1869243812557921,0.5,0.5,0.0,0.0,0.15840241033164407
mp-2767267,MnPO4,Mn-O-P,0.9867,4.2986,3.3119,3.30844737,True,,,,,,,,,0.0,-2.443718203762317,-0.030618044965281,3.804124037517398,130.87398009071939,12,3,['Mn' 'O' 'P'],"Mn,O,P",Monoclinic,True,True,7.9999994,FM,,True,False,False,0.6770126768217318,0.9059999251495465,1.0,0.5,0.5,0.0,0.1,0.7021378421800785
mp-777460,MnPO4,Mn-O-P,0.7739,2.8706,2.0967000000000002,2.15821171,False,,,,,,,,,0.0016826133333330002,-2.442035590428984,,3.797915113637405,262.17587210466064,24,3,['Mn' 'O' 'P'],"Mn,O,P",Orthorhombic,True,True,16.0000024,FM,,False,False,False,0.3673404217182244,0.5140301339472617,0.9669076722136742,0.5,0.5,0.0,0.0,0.48209988921755753
mp-1280914,MnSbO4,Mn-O-Sb,1.6205999999999992,4.7307,3.1101,3.2008841,False,,,,,,,,,0.036617013680556004,-1.9033338684051722,,5.107009033159965,313.0478282594146,24,3,['Mn' 'O' 'Sb'],"Mn,O,Sb",Orthorhombic,True,True,16.0006741,FM,,False,False,False,0.7818822501735925,0.24852192145581925,0.4807825098478582,0.5,0.5,0.0,0.0,0.430150030401362
mp-1199595,MnSn4H24C8(Se5N)2,C-H-Mn-N-Se-Sn,0.9195000000000001,1.7573,0.8378,0.84195022,True,,,,,,,,,0.059675441020406006,-0.32233352125241904,,2.810315744442407,867.2048326617136,49,6,['C' 'H' 'Mn' 'N' 'Se' 'Sn'],"C,H,Mn,N,Se,Sn",Tetragonal,False,True,4.9133892,FM,,False,False,False,0.5754728195295278,0.7998470778911849,0.30315567685711287,0.5,0.5,0.0,0.1,0.5646341857803379
mp-775134,MnV3(PO4)4,Mn-O-P-V,0.511899999999999,2.8901,2.3782,2.525039,False,,,,,,,,,0.035147778749994,-2.611728521104268,,3.317730326415915,294.1204841201594,24,4,['Mn' 'O' 'P' 'V'],"Mn,O,P,V",Monoclinic,True,True,10.0001286,FM,,False,False,False,0.11730621613482946,0.128174264445823,0.49511977548845676,0.5,0.5,0.0,0.0,0.26759937381542553
mp-25868,Mo(PO4)2,Mo-O-P,1.9817,1.073,-0.9087000000000001,-0.84912107,True,,,,,,,,,0.011319209090912,-2.328986884025974,,2.711992231515324,700.1781585528747,44,3,['Mo' 'O' 'P'],"Mo,O,P",Monoclinic,True,False,6.740000000000001e-05,NM,,False,False,False,0.2761505664905325,0.01616108012202049,0.7974116917372639,0.5,0.5,1.0,0.1,0.5362332539177269
mp-1027267,Mo3W(SeS)4,Mo-S-Se-W,0.703599999999999,3.6104000000000003,2.9068,2.96179925,False,,,,,,,,,0.05945821000000601,-0.7779408497916661,,4.501353720141058,337.82176433403316,12,4,['Mo' 'S' 'Se' 'W'],"Mo,S,Se,W",Trigonal,True,False,0.0002183,NM,,False,False,False,0.2820585797519457,0.3816421078411274,0.30447563848743686,0.5,0.5,1.0,0.0,0.38599188366241327
mp-29555,MoBr2,Br-Mo,2.1004,2.8062,0.7058,0.73376197,True,,,,,,,,,0.0,-1.046118486666666,-0.17653816888888701,4.635221919668818,1099.4413278969641,36,2,['Br' 'Mo'],"Br,Mo",Orthorhombic,False,False,0.0,NM,,True,False,False,0.16416216971701467,0.004796292765489087,1.0,0.5,0.5,1.0,0.1,0.616759986344077
mp-625700,MoH4O5,H-Mo-O,2.4345,1.3768,-1.0577,-1.03516118,False,,,,,,,,,0.07989394637499901,-1.457964598499999,,2.780433418085152,214.9630016699843,20,3,['H' 'Mo' 'O'],"H,Mo,O",Monoclinic,True,False,0.0005957,NM,,False,False,False,0.0236703508915627,6.776251521193295e-05,0.2023252096291203,0.5,0.5,1.0,0.0,0.25335814905670734
mp-23396,MoNCl3,Cl-Mo-N,1.6768,0.421,-1.2558,-1.18543223,False,,,,,,,,,0.0,-1.09528815100001,-0.0029018968333450004,2.747456650471394,522.9331863949631,20,3,['Cl' 'Mo' 'N'],"Cl,Mo,N",Triclinic,False,False,0.0,NM,,True,False,False,0.7015367451392309,0.17864262092709632,1.0,0.5,0.5,1.0,0.0,0.6771805794238722
mp-671913,MoSe2Cl4O,Cl-Mo-O-Se,1.0987,1.0906,-0.0081,0.08000662,False,,,,,,,,,0.16650777888221002,-0.9219905271484371,,3.134530550215934,1744.6859907103424,64,4,['Cl' 'Mo' 'O' 'Se'],"Cl,Mo,O,Se",Monoclinic,False,True,0.0093709,FM,,False,False,False,0.8336386188591934,0.9974826737930499,0.03578753689384317,0.5,0.5,0.0,0.0,0.49197894000721665
mp-1030524,MoW(SeS)2,Mo-S-Se-W,0.6101999999999991,3.5060000000000002,2.8958,2.93411466,False,,,,,,,,,0.07656464583334,-0.740193779791662,,4.930711358081437,338.00734185183455,12,4,['Mo' 'S' 'Se' 'W'],"Mo,S,Se,W",Trigonal,True,False,0.0005088,NM,,False,False,False,0.18930418277487637,0.2360133544537889,0.21625588564894213,0.5,0.5,1.0,0.0,0.32561281824662064
mp-1030567,MoW3(Se3S)2,Mo-S-Se-W,0.5992000000000001,2.6009,2.0017,1.97494733,True,,,,,,,,,0.07326557958334201,-0.636923386249999,,5.626910001362797,349.8047742220147,12,4,['Mo' 'S' 'Se' 'W'],"Mo,S,Se,W",Trigonal,True,False,6.25e-05,NM,,False,False,False,0.17997235917902796,0.2216073847456005,0.23100600071723862,0.5,0.5,1.0,0.1,0.414887127917316
mp-1027647,MoWS4,Mo-S-W,1.2003,3.8458,2.6455,2.66592511,False,,,,,,,,,0.0034977966666680004,-0.921363480208332,,4.437776863047781,305.3629696334593,12,3,['Mo' 'S' 'W'],"Mo,S,W",Trigonal,True,False,0.0,NM,,False,False,False,0.9408347355302024,0.9648113179296758,0.9324349082988949,0.5,0.5,1.0,0.0,0.7542351977820532
